観光地の公衆トイレ一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ｎｏ,名称,市町村名,住所,利用時間,駐車場台数,,形式,便器数,,,,,,,,,,多目的（障害者用）トイレ,,,,,,,,,,設　　　備,,,,,,,近隣の観光スポット,特記事項,,,,,,,,,,,,,
,,,,,一般,障害者用,,男性用,,,女性用,,兼用,,子供用,,うちｳｫｼｭﾚｯﾄ,手すり,段差解消,レバー,非常ボタン,ドア形態,"内部ｽﾍﾟｰｽ
ｍ×ｍ",移乗方向,ｳｫｼｭﾚｯﾄ,介護ベッド,オストメイト,蛇口,温風乾燥機,休憩スペース,荷物台・棚,フック,乳幼児イス,乳幼児ベッド,,,,,,,,,,,,,,,
,,,,,,,,洋,和,小,洋,和,洋,和,大,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,友ヶ島野奈浦公衆トイレ,和歌山市,和歌山市加太字笘ヶ沖島2673-3,終日,,,バイオ式,,2,3,,3,,,,,,○,○,手動式,○,引き戸式,4.8㎡,前方から,,,,手動式,,,,,,,友ヶ島,,,,,,,,,,,,,,
2,友ヶ島南垂水公衆トイレ,和歌山市,和歌山市加太字笘ヶ沖島2673-1,終日,,,バイオ式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,友ヶ島,,,,,,,,,,,,,,
3,友ヶ島池尻公衆トイレ,和歌山市,和歌山市加太字笘ヶ沖島2673-1,終日,,,バイオ式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,友ヶ島,,,,,,,,,,,,,,
4,深山観光広場公衆トイレ,和歌山市,和歌山市深山105,終日,,,水洗式,,1,2,,2,,,,,,○,○,押ボタン式,○,引き戸式,45.70㎡,前方から,,,,手動式,,,,○,,,加太,,,,,,,,,,,,,,
5,加太大波止公衆トイレ,和歌山市,和歌山市加太118,終日,,,水洗式,,1,1,,3,,,,,,○,○,手動式,○,引き戸式,23.19㎡,前方から,,,,手動式,,,,○,,○,加太淡嶋神社,,,,,,,,,,,,,,
6,深山海岸公衆トイレ,和歌山市,和歌山市深山地内,終日,,,水洗式,,,1,,,,1,,,,○,○,手動式,○,引き戸式,14.19㎡,前方から,,,,手動式,,,,○,,○,加太,,,,,,,,,,,,,,
7,加太海岸公衆トイレ,和歌山市,和歌山市加太地先,終日,,,水洗式,,1,2,,1,,,,,,○,○,光感知式,○,引き戸式,37.77㎡,前方から,,,,手動式,,○,,○,○,○,加太海水浴場,,,,,,,,,,,,,,
8,磯の浦海水浴場公衆トイレ,和歌山市,和歌山市磯の浦379番地先,終日,,,水洗式,,3,5,,5,,,,,,○,○,光感知式,○,引き戸式,48.65㎡,前方から,,,,手動式,,,,○,○,○,磯の浦海水浴場,,,,,,,,,,,,,,
9,和歌浦公衆トイレ,和歌山市,和歌山市新和歌浦1-1,終日,,,水洗式,,1,3,,2,,,,,,○,○,光感知式,○,引き戸式,49.71㎡,向かって左から,,,,手動式,,,,○,○,○,和歌浦観光遊歩道路,,,,,,,,,,,,,,
10,加太船着場公衆トイレ,和歌山市,和歌山市加太地先,終日,,,汲み取り式,,,1,,,,2,,,,,,,,,,,,,,手動式,,,,,,,加太・友ヶ島,,,,,,,,,,,,,,
11,和歌山公園内西の丸公衆トイレ,和歌山市,和歌山市一番丁3番地,終日,59,1,水洗式,2,1,6,2,5,,,,1,,○,○,光感知式,○,引き戸式,1.9×2.3,向かって右から,,,,光感知式,,,,○,,○,和歌山城,,,,,,,,,,,,,,
12,和歌山公園内砂の丸公衆トイレ,和歌山市,和歌山市一番丁3番地,終日,59,1,水洗式,,1,2,,1,,,,,,,,,,,,,,,,手動式,,,,,,,和歌山城,,,,,,,,,,,,,,
13,和歌山公園内不明門公衆トイレ,和歌山市,和歌山市一番丁3番地,終日,59,1,水洗式,,,3,,,1,3,,,,○,○,手動式,,引き戸式,1.5×2.8,前方から,,,,手動式,,,,○,,,和歌山城,,,,,,,,,,,,,,
14,和歌山公園内動物園公衆トイレ,和歌山市,和歌山市一番丁3番地,終日,59,1,水洗式,,2,2,,3,,,,1,,,,,,,,,,,,手動式,,,,,,,和歌山城,,,,,,,,,,,,,,
15,和歌山公園内桜林（岡口門北）公衆トイレ,和歌山市,和歌山市一番丁3番地,終日,59,1,水洗式,,1,5,,4,,,,,,○,○,手動式,,引き戸式,2.1×2.1,前方から,,,,手動式,,,,○,,,和歌山城,,,,,,,,,,,,,,
16,和歌山公園内桃林（伏虎像東）公衆トイレ,和歌山市,和歌山市一番丁3番地,終日,59,1,水洗式,,1,2,,1,,,,,,,,,,,,,,,,手動式,,,,,,,和歌山城,,,,,,,,,,,,,,
17,和歌山公園内二の丸公衆トイレ,和歌山市,和歌山市一番丁3番地,終日,59,1,水洗式,,1,4,1,2,,,,,,,,,,,,,,,,手動式,,,,,,,和歌山城,,,,,,,,,,,,,,
18,和歌山公園内天守閣前広場公衆トイレ,和歌山市,和歌山市一番丁3番地,終日,59,1,水洗式,,1,3,1,1,,,,,,,,,,,,,,,,手動式,,,,,,,和歌山城,,,,,,,,,,,,,,
19,和歌山公園内天守閣中庭公衆トイレ,和歌山市,和歌山市一番丁3番地,"9：00
17：30",59,1,水洗式,1,1,5,1,5,,,,,,,,,,,,,,,,手動式,,,,,,,和歌山城,,,,,,,,,,,,,,
20,岡公園内北側公衆トイレ,和歌山市,和歌山市岡山丁3番地,終日,34,,水洗式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,,,,和歌山城,,,,,,,,,,,,,,
21,岡公園内南西側公衆トイレ,和歌山市,和歌山市岡山丁3番地,終日,34,,水洗式,,,2,,,,1,,,,,,,,,,,,,,手動式,,,,,,,和歌山城,,,,,,,,,,,,,,
22,紀ノ川SA公衆トイレ(上り)メイン,和歌山市,和歌山県和歌山市北野,終日,193,4,水洗式,2,2,14,6,19,,,,2,8,○,○,レバー式,○,引き戸式,2.0×3.0,前方・右から,○,○,○,光感知式,○,○,○,○,○,○,和歌山城,平成21年6月店舗リニューアル,,,,,,,,,,,,,
23,紀ノ川SA公衆トイレ(上り)サブ,和歌山市,和歌山県和歌山市北野,終日,,,水洗式,1,1,3,1,4,,,,,2,,,,,,,,,,,光感知式,○,○,○,○,○,,和歌山城,,,,,,,,,,,,,,
24,紀ノ川SA公衆トイレ(下り)メイン,和歌山市,和歌山県和歌山市北野,終日,199,4,水洗式,2,2,14,6,19,,,,2,8,○,○,レバー式,○,引き戸式,2.0×3.0,前方・右から,○,○,○,光感知式,○,○,○,○,○,○,和歌山城,"平成19年10月店舗リニューアル
ドッグランあり",,,,,,,,,,,,,
25,紀ノ川SA公衆トイレ(下り)サブ,和歌山市,和歌山県和歌山市北野,終日,,,水洗式,1,1,3,1,4,,,,,2,,,,,,,,,,,光感知式,○,○,○,○,○,,和歌山城,,,,,,,,,,,,,,
26,マリーナシティー公衆トイレ,和歌山市,和歌山市毛見1538,終日,,,水洗式,1,2,6,6,2,,,,1,,○,○,押ボタン式,○,引き戸式,2.5×2.5,前方・右から,,,,光感知式,,,,○,○,,"マリーナシティー
黒潮市場",,,,,,,,,,,,,,
27,紀三井寺公園内テニスコート付近公衆トイレ,和歌山市,毛見200番,終日,500,7,水洗式,,3,4,,3,,,,,,○,○,手動式,,引き戸式,2.0×1.8,前方・左から,,,,手動式,,,,,,,"和歌山マリーナシティ
紀三井寺
浜ノ宮海水浴場",,,,,,,,,,,,,,
28,紀三井寺公園内児童公園付近公衆トイレ,和歌山市,毛見200番,終日,500,7,水洗式,,,3,,,,2,,,,,,,,,,,,,,手動式,,,,,,,"和歌山マリーナシティ
紀三井寺
浜ノ宮海水浴場",,,,,,,,水洗式,くつべら式,○,,,,
29,紀三井寺緑道亀の川付近公衆トイレ,和歌山市,毛見200番,終日,,,水洗式,,,2,,,,1,,,,,,,,,,,,,,手動式,,,,,,,"和歌山マリーナシティ
紀三井寺
浜ノ宮海水浴場",,,,,,,,汲み取り式,光感知式,×,,,,
30,紀三井寺公園陸上競技場内①,和歌山市,毛見200番,"9:00
17:00",500,7,水洗式,2,1,6,2,1,,,,,,,,,,,,,,,,手動式,,,,,,,"和歌山マリーナシティ
紀三井寺
浜ノ宮海水浴場",,,,,,,,バイオ式,足踏式,,,,,
